ingredient_id,ingredient_name,most_similar,most_similar_id,second_most_similar,second_most_similar_id,third_most_similar,third_most_similar_id
0,african/middle eastern spice mix,sumac,321,saffron,285,hummus,161
1,agar agar,protein powder,263,malt,189,lecithin,176
2,ajwain,seeds,298,fenugreek,128,asafoetida,15
3,alfredo sauce,bechamel,32,hollandaise sauce,158,pesto,245
4,allspice,cardamom,61,cider,86,pickling spice,247
5,almonds,pistachios,251,hazelnuts,155,cashews,63
6,american cheese and cheese products,cheddar and other firm cheeses,72,non-dairy cheese,210,soup,309
7,anchovies,capers,57,artichoke,13,anise liqueur,9
8,anise,sichuan pepper,304,five spice,133,licorice/anise,182
9,anise liqueur,shellfish,301,fennel,127,squid/octopus,314
10,annatto,plantains,254,chilies,81,chili,79
11,apple,cider,86,cranberries,106,pears,240
12,apricots,prunes,264,marmalade,194,plum,255
13,artichoke,pesto,245,sun dried tomatoes,322,asparagus,16
14,artificial sweetener,protein powder,263,sugar,320,egg substitute,122
15,asafoetida,fenugreek,128,ajwain,2,tamarind,327
16,asparagus,artichoke,13,pesto,245,broccoli,46
17,avocado,other fresh cheese,226,corn/tortilla chips and hard tacos,101,tequila,330
18,bacon,ham,154,sausages,293,cajun seasoning,54
19,baking mix,quick bread,267,pancakes,230,stuffing,319
20,baking powder,mixed spice,202,chocolate,83,white chocolate,357
21,balsamic vinegar,red wine vinegar,273,sherry vinegar,302,cider vinegar,87
22,bamboo,oyster sauce,229,bean sprouts,30,gai lan,139
23,bananas,vanilla,343,instant pudding,165,other fruits,227
24,barbecue seasonings and rubs,steak sauce/seasoning,316,jerk seasoning,169,seasoning,296
25,barbecue/steak sauce,barbecue seasonings and rubs,24,teriyaki,331,bechamel,32
26,barley,quinoa,269,wheat,355,buckwheat,49
27,basil,pesto,245,mixed herbs,201,mozzarella,205
28,bay/curry leaves,leaves,175,liver/kidneys/pate and other organ meats,185,pork stock,259
29,bean paste,oyster sauce,229,miso,200,rice wine/sake,278
30,bean sprouts,sesame,300,rice paper,276,gai lan,139
31,beans,green beans,148,chilies,81,capsicum,58
32,bechamel,hollandaise sauce,158,chili sauce/paste,80,barbecue/steak sauce,25
33,beef,game meats,140,turkey,340,lamb,173
34,beef stock,stock,317,pork stock,259,chicken and other poultry stock,77
35,beer,barbecue seasonings and rubs,24,smoke,305,beef stock,34
36,beetroot,root vegetables,281,radish,270,endives,124
37,bitters,gin and other infused spirits,142,herbal liqueur,156,citrus liqueur,89
38,black tea,chai tea,70,green tea,150,gin and other infused spirits,142
39,blackberry,other berries,224,blueberry,42,raspberries,271
40,blackcurrants/redcurrants,dessert wine,115,marmalade,194,plum,255
41,blue cheese,soft cheese,306,goat's cheese,144,cheddar and other firm cheeses,72
42,blueberry,other berries,224,blackberry,39,raspberries,271
43,brandy,dessert wine,115,fruit liqueur,138,whiskey,356
44,bread,quick bread,267,breadcrumbs,45,pastry,237
45,breadcrumbs,bread,44,crackers,105,stuffing,319
46,broccoli,gai lan,139,peas,241,asparagus,16
47,brown sugar,sugar,320,maple syrup,192,molasses,204
48,brussels sprouts,kale,170,endives,124,chard,71
49,buckwheat,wheat,355,other grains,228,quinoa,269
50,butter,shortening,303,oil,217,cream,107
51,buttermilk,milk,198,sour cream,310,cream of tartar,110
52,cabbage,celeriac,66,root vegetables,281,bean sprouts,30
53,cactus,epazote,125,annatto,10,chard,71
54,cajun seasoning,seafood seasoning,295,barbecue seasonings and rubs,24,seasoning,296
55,cake,pancakes,230,instant pudding,165,cookies,97
56,candy/lollies,icing,163,caramel,59,white chocolate,357
57,capers,anchovies,7,anise liqueur,9,artichoke,13
58,capsicum,chilies,81,green beans,148,beans,31
59,caramel,candy/lollies,56,icing,163,ice cream,162
60,caraway,sauerkraut/kimchi,292,celery seeds,68,fennel,127
61,cardamom,cinnamon,88,fenugreek,128,anise,8
62,carrot,mixed vegetables,203,barley,26,vegetable stock,346
63,cashews,sunflower seeds,323,almonds,5,indian spice mix,164
64,cauliflower,lentils,180,chicken,76,potatoes,260
65,caviar/roe,sorrel,308,chervil,74,chives,82
66,celeriac,celery,67,root vegetables,281,celery seeds,68
67,celery,celeriac,66,celery seeds,68,cabbage,52
68,celery seeds,celeriac,66,caraway,60,pickling spice,247
69,cereal,oats,216,crackers,105,wheat,355
70,chai tea,black tea,38,green tea,150,flowers,137
71,chard,kale,170,brussels sprouts,48,spinach,313
72,cheddar and other firm cheeses,american cheese and cheese products,6,non-dairy cheese,210,soft cheese,306
73,cherry,other berries,224,cranberries,106,raspberries,271
74,chervil,sorrel,308,tarragon,329,truffle,339
75,chestnuts,water chestnuts,353,dessert wine,115,hazelnuts,155
76,chicken,turkey,340,duck,118,white fish,358
77,chicken and other poultry stock,stock,317,vegetable stock,346,pork stock,259
78,chicken soup,soup,309,chicken and other poultry stock,77,alfredo sauce,3
79,chili,chilies,81,chili sauce/paste,80,capsicum,58
80,chili sauce/paste,bechamel,32,chili,79,chilies,81
81,chilies,chili,79,capsicum,58,chili sauce/paste,80
82,chives,caviar/roe,65,chervil,74,tarragon,329
83,chocolate,white chocolate,357,coffee,94,vanilla,343
84,chocolate liqueur,herbal liqueur,156,liqueur,184,coffee liqueur,95
85,chutney,mango,191,japanese curry,167,papaya,231
86,cider,apple,11,maple syrup,192,cider vinegar,87
87,cider vinegar,vinegar,348,red wine vinegar,273,rice vinegar,277
88,cinnamon,cardamom,61,mixed spice,202,pumpkin,265
89,citrus liqueur,liqueur,184,fruit liqueur,138,herbal liqueur,156
90,citrus peel/zest,lemon,178,orange,222,pistachios,251
91,cloves,allspice,4,anise,8,cider,86
92,cocktail sauce,chili sauce/paste,80,bechamel,32,hollandaise sauce,158
93,coconut,macadamias,188,lemongrass,179,peanuts,239
94,coffee,coffee liqueur,95,chocolate,83,malt,189
95,coffee liqueur,chocolate liqueur,84,coffee,94,cream liqueur,109
96,condensed milk,candy/lollies,56,ice cream,162,white chocolate,357
97,cookies,cake,55,white chocolate,357,vanilla,343
98,coriander,chilies,81,capsicum,58,lime,183
99,corn,taco seasoning,326,corn/tortilla chips and hard tacos,101,beans,31
100,corn meal/flour,quick bread,267,sourdough starter,311,corn/tortilla chips and hard tacos,101
101,corn/tortilla chips and hard tacos,tortillas/pita/flat breads,338,taco seasoning,326,salsa,290
102,cottage cheese,ricotta,279,non-dairy cheese,210,cream cheese,108
103,couscous,quinoa,269,rice,275,quince,268
104,crab,lobster,186,white fish,358,shellfish,301
105,crackers,quick bread,267,breadcrumbs,45,cereal,69
106,cranberries,other berries,224,cherry,73,apple,11
107,cream,cream liqueur,109,cream cheese,108,sour cream,310
108,cream cheese,cottage cheese,102,non-dairy cheese,210,soft cheese,306
109,cream liqueur,chocolate liqueur,84,coffee liqueur,95,cream,107
110,cream of tartar,white chocolate,357,chocolate,83,baking powder,20
111,cucumbers,radish,270,lettuce,181,hummus,161
112,cumin,ajwain,2,taco seasoning,326,beans,31
113,custard,mustard,207,malt,189,five spice,133
114,dates,dried fruit,117,prunes,264,figs,131
115,dessert wine,brandy,43,red wine,272,rose wine,282
116,dill,tarragon,329,caviar/roe,65,chives,82
117,dried fruit,dates,114,prunes,264,apricots,12
118,duck,poultry,261,chicken,76,game meats,140
119,dumpling wrappers,rice paper,276,pastry,237,noodles,212
120,egg,egg substitute,122,egg nog,121,milk,198
121,egg nog,egg,120,coffee liqueur,95,milk,198
122,egg substitute,egg,120,artificial sweetener,14,non-dairy milk alternatives,211
123,eggplant,lamb,173,pine nuts,249,basil,27
124,endives,watercress,354,rocket,280,greens,151
125,epazote,other fresh cheese,226,annatto,10,tomatillo,335
126,escargot,lobster,186,shellfish,301,white fish,358
127,fennel,anise liqueur,9,rosemary,283,chard,71
128,fenugreek,ajwain,2,asafoetida,15,cardamom,61
129,fermented sauces,bechamel,32,barbecue/steak sauce,25,seasoning,296
130,feta and halloumi,goat's cheese,144,soft cheese,306,blue cheese,41
131,figs,pears,240,prunes,264,other citrus,225
132,fish/seafood stock,stock,317,pork stock,259,chicken and other poultry stock,77
133,five spice,hoisin sauce,157,sichuan pepper,304,sesame,300
134,flavoured yoghurt,plain yoghurt,253,vanilla,343,blueberry,42
135,flax seeds,seeds,298,protein powder,263,sunflower seeds,323
136,flour,baking mix,19,pancakes,230,quick bread,267
137,flowers,pistachios,251,other citrus,225,blackberry,39
138,fruit liqueur,liqueur,184,citrus liqueur,89,chocolate liqueur,84
139,gai lan,broccoli,46,bean sprouts,30,sesame,300
140,game meats,beef,33,poultry,261,duck,118
141,garlic,capsicum,58,chilies,81,tomato-based sauce,336
142,gin and other infused spirits,bitters,37,herbal liqueur,156,black tea,38
143,ginger/galangal,five spice,133,thai curry paste,332,tamarind,327
144,goat's cheese,soft cheese,306,blue cheese,41,feta and halloumi,130
145,grapefruit,tangerines,328,orange,222,passionfruit,235
146,grapes,mandarins,190,grapefruit,145,melon,197
147,gravy,beef stock,34,soup,309,seasoning,296
148,green beans,beans,31,capsicum,58,mixed vegetables,203
149,green onions,onion,221,nigella,209,chives,82
150,green tea,chai tea,70,black tea,38,agar agar,1
151,greens,lettuce,181,rocket,280,watercress,354
152,guava,passionfruit,235,tequila,330,mango,191
153,gums/gels/thickeners,syrup,325,vanilla,343,sugar,320
154,ham,bacon,18,sausages,293,beef,33
155,hazelnuts,walnuts,350,almonds,5,pistachios,251
156,herbal liqueur,chocolate liqueur,84,liqueur,184,citrus liqueur,89
157,hoisin sauce,teriyaki,331,soy sauce,312,sesame,300
158,hollandaise sauce,bechamel,32,cocktail sauce,92,fermented sauces,129
159,honey,maple syrup,192,brown sugar,47,marmalade,194
160,horseradish,pickles,246,radish,270,dill,116
161,hummus,tzatziki,342,sumac,321,feta and halloumi,130
162,ice cream,chocolate liqueur,84,fruit liqueur,138,liqueur,184
163,icing,instant pudding,165,candy/lollies,56,white chocolate,357
164,indian spice mix,japanese curry,167,thai curry paste,332,turmeric,341
165,instant pudding,icing,163,vanilla,343,cake,55
166,jam,blackcurrants/redcurrants,40,plum,255,other fruits,227
167,japanese curry,indian spice mix,164,thai curry paste,332,turmeric,341
168,jelly,cake,55,cookies,97,instant pudding,165
169,jerk seasoning,steak sauce/seasoning,316,barbecue seasonings and rubs,24,seasoning,296
170,kale,chard,71,brussels sprouts,48,spinach,313
171,ketchup,barbecue/steak sauce,25,smoke,305,barbecue seasonings and rubs,24
172,kiwifruit,melon,197,papaya,231,grapes,146
173,lamb,game meats,140,beef,33,pork,258
174,lard/animal fats,pork stock,259,veal,344,poultry,261
175,leaves,bay/curry leaves,28,sichuan pepper,304,lemongrass,179
176,lecithin,flax seeds,135,protein powder,263,agar agar,1
177,leeks,root vegetables,281,celeriac,66,anise liqueur,9
178,lemon,citrus peel/zest,90,sherry vinegar,302,grapefruit,145
179,lemongrass,thai curry paste,332,rice paper,276,tamarind,327
180,lentils,beans,31,barley,26,quinoa,269
181,lettuce,greens,151,rocket,280,watercress,354
182,licorice/anise,anise,8,white chocolate,357,icing,163
183,lime,rice vinegar,277,mango,191,lemongrass,179
184,liqueur,fruit liqueur,138,citrus liqueur,89,chocolate liqueur,84
185,liver/kidneys/pate and other organ meats,pork stock,259,veal stock,345,veal,344
186,lobster,shellfish,301,crab,104,white fish,358
187,lychee,soft cheese,306,cheddar and other firm cheeses,72,goat's cheese,144
188,macadamias,coconut,93,pecans,242,papaya,231
189,malt,agar agar,1,syrup,325,protein powder,263
190,mandarins,grapes,146,orange,222,tangerines,328
191,mango,papaya,231,passionfruit,235,melon,197
192,maple syrup,honey,159,brown sugar,47,syrup,325
193,marjoram,savory,294,rosemary,283,sage,286
194,marmalade,orange,222,honey,159,apricots,12
195,mayonnaise,salad dressing,287,pickles,246,hollandaise sauce,158
196,meat substitutes,non-dairy cheese,210,removed tofu,-1,mixed vegetables,203
197,melon,papaya,231,kiwifruit,172,mango,191
198,milk,non-dairy milk alternatives,211,buttermilk,51,cream,107
199,mint,sumac,321,pomegranate,256,melon,197
200,miso,seaweed,297,rice wine/sake,278,bean paste,29
201,mixed herbs,pesto,245,basil,27,parmesan and other hard cheeses,233
202,mixed spice,cinnamon,88,maple syrup,192,baking powder,20
203,mixed vegetables,green beans,148,meat substitutes,196,capsicum,58
204,molasses,brown sugar,47,malt,189,maple syrup,192
205,mozzarella,non-dairy cheese,210,cheddar and other firm cheeses,72,parmesan and other hard cheeses,233
206,mushrooms,chicken soup,78,soup,309,parmesan and other hard cheeses,233
207,mustard,custard,113,barbecue seasonings and rubs,24,hollandaise sauce,158
208,natto,seaweed,297,bean paste,29,miso,200
209,nigella,seeds,298,ajwain,2,chilies,81
210,non-dairy cheese,cheddar and other firm cheeses,72,soft cheese,306,mozzarella,205
211,non-dairy milk alternatives,milk,198,tofu,334,lecithin,176
212,noodles,pasta,236,rice,275,dumpling wrappers,119
213,nut liqueur,liqueur,184,fruit liqueur,138,chocolate liqueur,84
214,nutmeg,mixed spice,202,pumpkin,265,cardamom,61
215,nuts,walnuts,350,pecans,242,macadamias,188
